"kommunenummer","iKomNr","KomNavn","Kyst","iFylke","SSB_Sentralitet","BefUtvSiste10y","SyssUtvSiste10y","Herfindahlsindeksen_omvendt","SSB_Sentr_Kl","Herfindahlsindeksen","rSkog","rDyrketMark","rUrbant","SHAPE_Length","SHAPE_Area"
"1835",1835,"Træna",1,18,323,-12.3,-17.2,0.795105917,6,0.204894083,0,0,0.0249259146425901,326556.703813172,16527267.1171089
"1127",1127,"Randaberg",1,11,867,12.3,-0.7,0.942859351,3,0.057140649,1.43298059964727,15.5864197530864,1.85185185185185,49684.9939973726,24879067.6168702
"4625",4625,"Austevoll",1,46,598,9.5,2.9,0.875126799,5,0.124873201,6.06263573443748,0.420142483102965,0,663018.737015558,117991123.092148
"3201",3201,"Bærum",1,32,966,11.3,8.3,0.948536854,1,0.051463146,58.4190854136865,6.74172857736145,12.4221309584237,133950.945202842,192431263.091988
"3439",3439,"Ringebu",0,34,647,-1.8,7.2,0.925436098,5,0.074563902,47.3368227834911,3.87473247994101,0.119432176150436,165651.355029109,1248472777.4091
"1114",1114,"Bjerkreim",0,11,687,2.5,7.7,0.86515266,4,0.13484734,20.3151179770963,4.14726001076013,0.0876181692414111,146407.997034681,654184259.388902
"5034",5034,"Meråker",0,50,626,-3.3,-10.1,0.936012559,5,0.063987441,31.2557891266465,0.884657048212632,0.0329685856476757,147093.963796452,1273707527.94949
"4026",4026,"Tinn",0,40,595,-7.1,-8.9,0.942975869,5,0.057024131,33.7782928224612,0.498745801000425,0.0836132666383066,261856.192471467,2049963080.89936
"5530",5530,"Senja",1,55,611,0.5,6.7,0.924110888,5,0.075889112,24.4820645745372,0.890237297817248,0.096729779030385,1155921.10817439,1953995938.70198
"1841",1841,"Fauske - Fuossko",1,18,679,0.6,0.1,0.934287451,4,0.065712549,24.7169563436556,1.4405279875113,0.234935894958925,305019.220297678,1196066980.27524
"1867",1867,"Bø",1,18,497,-2.6,10.9,0.903917008,6,0.096082992,11.1674677460157,1.64811535542626,0.0619782443713635,514854.384341496,246526125.97597
"4215",4215,"Lillesand",1,42,788,13.8,24.3,0.920445042,3,0.079554958,48.259375,2.15,0.746875,504118.127096221,190887829.70104
